CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.147,23,CLOSE,TU,TU,1,0,U,-2,14/01/2014,00:50,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.147,23,ROSE,OUT,y,1,1,D,-2,14/01/2014,00:50,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.494,24,CLOSE,OUT,y,1,1,D,0,02/02/2013,14:42,3,3,1,1,F,F,F,1,1,1,1,0,0,0,0,0,0,0,0,2,2
F1.494,24,ROSE,OUT,y,1,1,D,0,02/02/2013,14:42,3,3,1,1,F,F,F,1,0,0,0,0,0,0,0,0,0,0,0,1,0
F1.119,25,CLOSE,IN,y,1,1,U,1,25/01/2014,23:44,1,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.119,25,ROSE,IN,y,1,1,U,1,25/01/2014,23:44,1,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.74,26,CLOSE,OUT,y,1,1,U,10,13/05/2014,19:11,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.74,26,ROSE,TU,TU,1,0,U,10,13/05/2014,19:11,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.475,27,CLOSE,IN,y,1,1,W,0,22/01/2013,17:48,1,1,1,1,U,U,U,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.475,27,ROSE,IN,y,1,1,W,0,22/01/2013,17:48,1,1,1,1,U,U,U,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.194,28,CLOSE,IN,y,1,1,W,-2,01/03/2014,08:10,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.194,28,ROSE,IN,y,1,1,W,-2,01/03/2014,08:10,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.297,29,CLOSE,OUT,y,1,1,U,12,13/08/2014,21:28,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.297,29,ROSE,IN.OUT,y,1,1,U,12,13/08/2014,21:28,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
