EVENT,LAST.EVENT,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,SCENT.AR,SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS
23/11/2012,20/11/2012,3,0,0,,,,,2,C,1
26/11/2012,23/11/2012,3,0,0,,,,,5,C,1
02/12/2012,26/11/2012,6,2.000000007,0,,,,,11,C,1
08/12/2012,02/12/2012,6,0,0,,,,,3,C,1
09/12/2012,08/12/2012,1,644,0,,,,,4,C,1
10/12/2012,09/12/2012,1,,0,,,,,5,C,1
11/12/2012,10/12/2012,1,0,0,,,,,6,C,1
12/12/2012,11/12/2012,1,0,0,,1,,,7,C,1
13/12/2012,12/12/2012,1,0,0,,,,,8,C,1
14/12/2012,13/12/2012,1,,0,,1,,,0,ER,1
15/12/2012,14/12/2012,1,621,1,,,,,1,ER,1
25/12/2012,15/12/2012,10,190,0,,,2,,11,ER,1
29/12/2012,25/12/2012,4,1.000000003,0,,,1,,1,ER,1
08/01/2013,29/12/2012,10,0,0,,,,,4,ER,1
09/01/2013,08/01/2013,1,733,0,,,,,5,ER,1
12/01/2013,09/01/2013,3,15.00000001,0,,,1,,8,ER,1
13/01/2013,12/01/2013,1,0,0,,,,,9,ER,1
20/01/2013,13/01/2013,7,656,0,,,1,1,2,ER,1
21/01/2013,20/01/2013,1,0,1,,,,,3,ER,1
22/01/2013,21/01/2013,1,725,1,289,,1,2,4,ER,1
23/01/2013,22/01/2013,1,782,1,,,1,,5,ER,1
26/01/2013,23/01/2013,3,1421,1,,,1,,8,ER,1
27/01/2013,26/01/2013,1,171,1,,,,,9,ER,1
01/02/2013,27/01/2013,5,693,0,,,1,,0,ER,1
02/02/2013,01/02/2013,1,741,1,,,,,1,ER,1
03/02/2013,02/02/2013,1,782,0,,,,,2,ER,1
08/02/2013,03/02/2013,5,807,1,,,1,,7,ER,1
09/02/2013,08/02/2013,1,789,0,,,,,8,ER,1
13/02/2013,09/02/2013,4,778,0,,,1,,12,ER,1
16/02/2013,13/02/2013,3,694,1,,,2,2,15,MR,1
18/02/2013,16/02/2013,2,795,0,,,1,,17,MR,1
19/02/2013,18/02/2013,1,741,1,,,,,18,MR,1
21/02/2013,19/02/2013,2,8.000000005,0,,,,,0,MR,1
24/02/2013,21/02/2013,3,720,0,,,,,3,MR,1
25/02/2013,24/02/2013,1,807,0,,,1,,4,MR,1
26/02/2013,25/02/2013,1,875,0,,,,,5,MR,1
28/02/2013,26/02/2013,2,740,1,,,,,7,MR,1
02/03/2013,28/02/2013,2,779,1,,,,3,9,MR,1
03/03/2013,02/03/2013,1,887,0,,,1,1,10,MR,1
05/03/2013,03/03/2013,2,810,1,,,,,12,MR,1
07/03/2013,05/03/2013,2,769,1,,,,,14,MR,1
10/03/2013,07/03/2013,3,787,0,,,,1,17,MR,1
11/03/2013,10/03/2013,1,901,0,,,,,18,MR,1
12/03/2013,11/03/2013,1,844,1,,,1,,19,MR,1
13/03/2013,12/03/2013,1,2.000000007,1,,,,1,20,MR,1
19/04/2013,18/04/2013,1,854,1,,,,2,2,LR,1
20/04/2013,19/04/2013,1,22.99999999,0,,,,,3,LR,1
22/04/2013,20/04/2013,2,942,1,,1,,,5,LR,1
23/04/2013,22/04/2013,1,77,1,,,2,,6,LR,1
25/04/2013,23/04/2013,2,838,1,,,,,8,LR,1
26/04/2013,25/04/2013,1,964,0,,,,1,9,LR,1
28/04/2013,26/04/2013,2,0,0,,,1,,11,LR,1
30/04/2013,28/04/2013,2,874,1,,,,3,13,LR,1
02/05/2013,30/04/2013,2,1003,0,,,,,15,LR,1
04/05/2013,02/05/2013,2,823,1,,,,3,17,LR,1
05/05/2013,04/05/2013,1,892,1,,1,,,0,LR,1
22/05/2013,18/05/2013,4,0,0,,,,,5,LR,1
20/06/2013,19/06/2013,1,0,0,,,,,4,C,1
23/06/2013,20/06/2013,3,0,0,,,,,7,C,1
28/09/2013,26/08/2013,33,0,0,,,,,9,C,1
30/09/2013,28/09/2013,2,0,0,,,,,11,C,1
17/10/2013,30/09/2013,17,0,0,,,,,8,C,1
25/10/2013,17/10/2013,8,1.000000003,0,,,,,16,C,1
06/11/2013,25/10/2013,12,8.000000005,0,,,,,5,C,1
09/11/2013,06/11/2013,3,19.99999999,1,,1,1,,8,C,1
10/11/2013,09/11/2013,1,1.999999996,0,,,,,9,ER,1
11/11/2013,10/11/2013,1,7.000000002,0,,,,,10,ER,1
12/11/2013,11/11/2013,1,0,0,,,,,10,ER,1
14/11/2013,12/11/2013,2,24,0,,,,,2,ER,1
17/11/2013,14/11/2013,3,1.999999996,0,,,,,5,ER,1
18/11/2013,17/11/2013,1,2.000000007,0,,,1,,6,ER,1
19/11/2013,18/11/2013,1,1.000000003,0,,,1,,7,ER,1
20/11/2013,19/11/2013,1,7.999999995,0,,,,,8,ER,1
22/11/2013,20/11/2013,2,4.000000003,0,,,,,10,ER,1
23/11/2013,22/11/2013,1,2.999999999,0,,,,,11,ER,1
24/11/2013,23/11/2013,1,0.999999993,0,,,,,12,ER,1
28/11/2013,24/11/2013,4,4.000000003,0,,,,,0,ER,1
29/11/2013,28/11/2013,1,1.000000003,0,,,,,1,ER,1
01/12/2013,29/11/2013,2,0,0,,,,,3,ER,1
02/12/2013,01/12/2013,1,0.999999993,0,,,1,,4,ER,1
04/12/2013,02/12/2013,2,0,0,,,,,6,ER,1
05/12/2013,04/12/2013,1,0,0,,,,,7,ER,1
06/12/2013,05/12/2013,1,0,0,,,,,8,ER,1
08/12/2013,06/12/2013,2,0,0,,,,,10,ER,1
11/12/2013,08/12/2013,3,564,0,,,,,13,ER,1
14/12/2013,11/12/2013,3,0,0,,1,,,16,ER,1
15/12/2013,14/12/2013,1,444,0,,,1,,17,ER,1
17/12/2013,15/12/2013,2,854,0,,,,,19,ER,1
18/12/2013,17/12/2013,1,590,0,,,,,20,ER,1
19/12/2013,18/12/2013,1,1.999999996,0,,,,,21,ER,1
21/12/2013,19/12/2013,2,2.999999999,0,,,,,1,ER,1
22/12/2013,21/12/2013,1,631,0,,,,,2,ER,1
23/12/2013,22/12/2013,1,0,0,,,,,2,ER,1
24/12/2013,23/12/2013,1,798,0,,,,,4,ER,1
27/12/2013,24/12/2013,3,90,0,,,,1,7,ER,1
28/12/2013,27/12/2013,1,2.999999999,0,,,,,8,ER,1
30/12/2013,28/12/2013,2,143,0,,,1,,10,ER,1
01/01/2014,30/12/2013,2,388,0,,,,,12,ER,1
02/01/2014,01/01/2014,1,2.000000007,0,,,,,13,ER,1
03/01/2014,02/01/2014,1,602,0,,,,,14,ER,1
05/01/2014,03/01/2014,2,683,0,,,,,16,ER,1
07/01/2014,05/01/2014,2,0,0,,,,,0,ER,1
08/01/2014,07/01/2014,1,0,0,,,,,1,ER,1
09/01/2014,08/01/2014,1,602,0,,,,,2,ER,1
12/01/2014,09/01/2014,3,630,0,,,,,0,MR,1
13/01/2014,12/01/2014,1,320,0,,,,,1,MR,1
14/01/2014,13/01/2014,1,654,0,,,,,2,MR,1
15/01/2014,14/01/2014,1,693,0,,,,,3,MR,1
17/01/2014,15/01/2014,2,0,0,,,,,5,MR,1
18/01/2014,17/01/2014,1,671,0,,,,,6,MR,1
19/01/2014,18/01/2014,1,596,0,,,,,7,MR,1
21/01/2014,19/01/2014,2,664,0,,,,,9,MR,1
22/01/2014,21/01/2014,1,607,0,,,,,10,MR,1
23/01/2014,22/01/2014,1,634,0,,,1,,0,MR,1
24/01/2014,23/01/2014,1,721,0,,,,,1,MR,1
25/01/2014,24/01/2014,1,573,0,,,,,2,MR,1
26/01/2014,25/01/2014,1,603,0,,,,,3,MR,1
27/01/2014,26/01/2014,1,596,0,,,,,4,MR,1
28/01/2014,27/01/2014,1,651,0,,,,,5,MR,1
30/01/2014,28/01/2014,2,177,0,,,,,7,MR,1
01/02/2014,30/01/2014,2,0,0,,,,,9,MR,1
02/02/2014,01/02/2014,1,559,0,,,,,10,MR,1
03/02/2014,02/02/2014,1,378,0,,,,,11,MR,1
04/02/2014,03/02/2014,1,402,0,,,,,12,MR,1
06/02/2014,04/02/2014,2,639,0,,,,,14,MR,1
07/02/2014,06/02/2014,1,525,0,,,,,15,MR,1
10/02/2014,07/02/2014,3,470,0,,,,,18,MR,1
13/02/2014,10/02/2014,3,0,0,,,,,1,MR,1
14/02/2014,13/02/2014,1,638,0,,,,,2,MR,1
15/02/2014,14/02/2014,1,1.000000003,0,,,,,3,MR,1
16/02/2014,15/02/2014,1,643,0,,,1,,4,MR,1
17/02/2014,16/02/2014,1,671,0,,,,,5,MR,1
19/02/2014,17/02/2014,2,683,0,,,,,7,MR,1
20/02/2014,19/02/2014,1,8.999999998,0,,,,,8,MR,1
21/02/2014,20/02/2014,1,20,0,,,1,,9,MR,1
22/02/2014,21/02/2014,1,584,0,,,,,10,MR,1
23/02/2014,22/02/2014,1,8.000000005,0,,,,,11,MR,1
24/02/2014,23/02/2014,1,0,1,600,1,,,0,MR,1
26/02/2014,24/02/2014,2,0,0,,,,,2,MR,1
27/02/2014,26/02/2014,1,960,0,,,,,3,MR,1
28/02/2014,27/02/2014,1,389,0,,,,,4,MR,1
01/03/2014,28/02/2014,1,562,0,,,1,,5,MR,1
02/03/2014,01/03/2014,1,167,0,,,1,,6,MR,1
03/03/2014,02/03/2014,1,346,0,,,1,,7,MR,1
04/03/2014,03/03/2014,1,737,0,,,,,8,MR,1
06/03/2014,04/03/2014,2,686,1,,,5,,10,MR,1
07/03/2014,06/03/2014,1,813,1,,,,,11,MR,1
08/03/2014,07/03/2014,1,279,0,,,1,,12,MR,1
10/03/2014,08/03/2014,2,2.999999999,1,,,1,,1,MR,1
11/03/2014,10/03/2014,1,799,0,,,,,2,MR,1
12/03/2014,11/03/2014,1,727,0,,,1,,3,LR,1
13/03/2014,12/03/2014,1,731,0,,,1,,4,LR,1
14/03/2014,13/03/2014,1,441,0,,,,,5,LR,1
15/03/2014,14/03/2014,1,75,0,,,,1,6,LR,1
16/03/2014,15/03/2014,1,615,1,,,,,7,LR,1
18/03/2014,16/03/2014,2,701,0,,,,,9,LR,1
19/03/2014,18/03/2014,1,74.99999999,0,,,2,,10,LR,1
20/03/2014,19/03/2014,1,669,0,,,2,,11,LR,1
22/03/2014,20/03/2014,2,709,0,,,2,,13,LR,1
23/03/2014,22/03/2014,1,728,1,,,,1,14,LR,1
25/03/2014,23/03/2014,2,0,0,,1,,1,1,LR,1
26/03/2014,25/03/2014,1,775,0,,,2,,2,LR,1
28/03/2014,26/03/2014,2,767,0,,,,,4,LR,1
29/03/2014,28/03/2014,1,409,0,,,,1,5,LR,1
30/03/2014,29/03/2014,1,817,0,,,,,6,LR,1
01/04/2014,30/03/2014,2,835,0,,,,2,8,LR,1
02/04/2014,01/04/2014,1,849,0,,,,,9,LR,1
03/04/2014,02/04/2014,1,1063,0,,,,,10,LR,1
05/04/2014,03/04/2014,2,1109.6,0,,,,,12,LR,1
06/04/2014,05/04/2014,1,812,0,,,,1,13,LR,1
07/04/2014,06/04/2014,1,814,0,,,,,14,LR,1
08/04/2014,07/04/2014,1,948,1,,,1,2,15,LR,1
09/04/2014,08/04/2014,1,62,1,819,,,,0,LR,1
12/04/2014,09/04/2014,3,919,1,,,,,7,C,1
13/04/2014,12/04/2014,1,0,0,,,,,8,C,1
14/04/2014,13/04/2014,1,839,1,,,,1,9,C,1
16/04/2014,14/04/2014,2,0.066666672,1,,,,1,11,C,1
18/04/2014,16/04/2014,2,0,0,,,1,,13,C,1
19/04/2014,18/04/2014,1,0,0,,,,,14,C,1
20/04/2014,19/04/2014,1,952,0,,,,,15,C,1
21/04/2014,20/04/2014,1,0,0,,,,,16,C,1
23/04/2014,21/04/2014,2,885,0,,,,1,1,LR,1
25/04/2014,23/04/2014,2,917,1,,,2,,3,LR,1
28/04/2014,25/04/2014,3,903,0,,,,,6,LR,1
02/05/2014,28/04/2014,4,1.999999996,0,,,,,10,LR,1
03/05/2014,02/05/2014,1,0,0,,,,,11,LR,1
05/05/2014,03/05/2014,2,2.999999999,0,,,,,0,LR,1
07/05/2014,05/05/2014,2,323,0,,,1,,2,LR,1
09/05/2014,07/05/2014,2,5.999999999,0,,,1,,4,LR,1
10/05/2014,09/05/2014,1,880,0,,,,,5,LR,1
11/05/2014,10/05/2014,1,19.99999999,1,,,,,6,LR,1
12/05/2014,11/05/2014,1,653,0,,,,,7,C,1
13/05/2014,12/05/2014,1,891,0,,,,,8,C,1
15/05/2014,13/05/2014,2,878,0,,,,,10,C,1
17/05/2014,15/05/2014,2,295,1,,,,1,12,C,1
20/05/2014,17/05/2014,3,0,0,,,,1,14,C,1
30/05/2014,20/05/2014,10,1.000000003,0,,,1,,8,C,1
02/06/2014,30/05/2014,3,1.000000003,0,,,,,11,C,1
05/06/2014,02/06/2014,3,48,1,,,2,1,2,C,1
07/06/2014,05/06/2014,2,0,0,,,,,4,C,1
10/06/2014,07/06/2014,3,0,0,,,,,7,C,1
12/06/2014,10/06/2014,2,1046,0,,,,,9,C,1
18/06/2014,12/06/2014,6,1.999999996,0,,,,,1,C,1
19/06/2014,18/06/2014,1,1.000000003,0,,,,,2,C,1
21/06/2014,19/06/2014,2,0,0,,,,,4,C,1
02/07/2014,21/06/2014,11,2.999999999,0,,,,,0,C,1
07/07/2014,02/07/2014,5,2.999999999,0,,,,,5,C,1
10/07/2014,07/07/2014,3,0,0,,,,,8,C,1
18/07/2014,10/07/2014,8,0,0,,,,,2,C,1
27/07/2014,18/07/2014,9,1.000000003,0,,,,,11,C,1
30/07/2014,27/07/2014,3,5.999999999,0,,,,,0,C,1
01/08/2014,30/07/2014,2,4.000000003,0,,,,,2,C,1
06/08/2014,01/08/2014,5,16,0,,,,,7,C,1
13/08/2014,06/08/2014,7,0,0,,,,,13,C,1
20/08/2014,13/08/2014,7,0,0,,,,,20,C,1
28/08/2014,20/08/2014,8,0,0,,,,,28,C,1
04/09/2014,28/08/2014,7,0,0,,,,,2,C,1
05/09/2014,04/09/2014,1,0,0,,,,,3,C,1
06/09/2014,05/09/2014,1,0,0,,,,,4,C,1
07/09/2014,06/09/2014,1,0,0,,,,,5,C,1
21/09/2014,07/09/2014,14,0,0,,,,,4,C,1
26/09/2014,21/09/2014,5,0,0,,,,,9,C,1
03/10/2014,26/09/2014,7,0,0,,,,,3,C,1
13/10/2014,03/10/2014,10,1.999999996,0,,,,,13,C,1
19/10/2014,13/10/2014,6,1.000000003,0,,,,,4,C,1
21/10/2014,19/10/2014,2,1.000000003,0,,,,,6,C,1
24/10/2014,21/10/2014,3,6.000000009,0,,,,,9,C,1
25/10/2014,24/10/2014,1,0,0,,,,,10,C,1
27/10/2014,25/10/2014,2,0,0,,,,,12,C,1
30/10/2014,27/10/2014,3,4.000000003,0,,,,,15,C,1
31/10/2014,30/10/2014,1,0.999999993,0,,,,,0,C,1
03/11/2014,31/10/2014,3,0,0,,,,,3,C,1
13/11/2014,03/11/2014,10,0,0,,,,,1,C,1
17/11/2014,13/11/2014,4,2.999999999,0,,,,,5,C,1
21/11/2014,17/11/2014,4,0,0,,,,,9,C,1
22/11/2014,21/11/2014,1,1.999999996,0,,,,,10,C,1
24/11/2014,22/11/2014,2,0,0,,,,,12,C,1
27/11/2014,24/11/2014,3,0,0,,,,,0,C,1
03/12/2014,27/11/2014,6,0,0,,,,,6,C,1
12/12/2014,03/12/2014,9,2.999999999,0,,,,,3,C,1
13/12/2014,12/12/2014,1,431,0,,,,,4,C,1
14/12/2014,13/12/2014,1,6.999999991,0,,,,,5,C,1
17/12/2014,14/12/2014,3,410,0,,,,,8,C,1
19/12/2014,17/12/2014,2,0,0,,1,,,10,C,1
22/12/2014,19/12/2014,3,435,0,,,,,13,C,1
23/12/2014,22/12/2014,1,287,0,,,,,14,C,1
27/12/2014,23/12/2014,4,557,0,,,,,18,C,1
28/12/2014,27/12/2014,1,595,0,,,,,19,C,1
29/12/2014,28/12/2014,1,0,0,,1,,,0,C,1
01/01/2015,29/12/2014,3,0,0,,1,,,3,C,1
03/01/2015,01/01/2015,2,0,0,,,,,5,C,1
04/01/2015,03/01/2015,1,0,0,,,,,6,C,1
07/01/2015,04/01/2015,3,92,0,,,,,9,C,1
08/01/2015,07/01/2015,1,0,0,,,,,10,C,1
09/01/2015,08/01/2015,1,557,0,,,,,11,C,1
10/01/2015,09/01/2015,1,0,0,,,,,12,C,1
12/01/2015,10/01/2015,2,0,0,,,,,14,C,1
13/01/2015,12/01/2015,1,0,0,,,,,1,C,1
15/01/2015,13/01/2015,2,531,0,,,,,3,C,1
16/01/2015,15/01/2015,1,503,0,,,,,4,C,1
20/01/2015,16/01/2015,4,664,0,,,,,8,C,1
21/01/2015,20/01/2015,1,357,0,,,,,9,C,1
22/01/2015,21/01/2015,1,0,0,,,,,10,C,1
23/01/2015,22/01/2015,1,1002,0,,,,,11,C,1
25/01/2015,23/01/2015,2,632,0,,,,,13,C,1
26/01/2015,25/01/2015,1,0,0,,1,,,14,C,1
29/01/2015,26/01/2015,3,0,0,,,,,3,C,1
31/01/2015,29/01/2015,2,624,0,,,,,5,C,1
01/02/2015,31/01/2015,1,0,0,,1,,,6,C,1
03/02/2015,01/02/2015,2,0,0,,,,,8,C,1
04/02/2015,03/02/2015,1,0,0,,1,,,9,C,1
05/02/2015,04/02/2015,1,783,0,,,,,10,C,1
06/02/2015,05/02/2015,1,966,0,,,,,11,C,1
07/02/2015,06/02/2015,1,0,0,,1,,,12,C,1
08/02/2015,07/02/2015,1,0,0,,1,,,13,C,1
09/02/2015,08/02/2015,1,808,0,,,,,14,C,1
10/02/2015,09/02/2015,1,716,0,,,,,15,C,1
11/02/2015,10/02/2015,1,2.999999999,0,,,,,16,C,1
12/02/2015,11/02/2015,1,0,0,,,,,17,C,1
14/02/2015,12/02/2015,2,123,0,,,,,1,C,1
16/02/2015,14/02/2015,2,0,0,,,,,3,C,1
17/02/2015,16/02/2015,1,704,0,,,,,4,C,1
20/02/2015,17/02/2015,3,895,0,,,,,7,C,1
21/02/2015,20/02/2015,1,73.00000001,0,,,1,,8,C,1
23/02/2015,21/02/2015,2,0,0,,,,,10,C,1
24/02/2015,23/02/2015,1,0,0,,,,,11,C,1
26/02/2015,24/02/2015,2,954,0,,,,,0,C,1
27/02/2015,26/02/2015,1,0,0,,,,,1,C,1
02/03/2015,27/02/2015,3,194,0,,,,,4,C,1
03/03/2015,02/03/2015,1,0,0,,,,,5,C,1
04/03/2015,03/03/2015,1,543,0,,,,,6,C,1
05/03/2015,04/03/2015,1,0,0,,,,,7,C,1
06/03/2015,05/03/2015,1,0,0,,,,,8,C,1
08/03/2015,06/03/2015,2,0,0,,1,,1,10,C,1
14/03/2015,08/03/2015,6,681,0,,,,,2,C,1
15/03/2015,14/03/2015,1,827,0,,,,,3,C,1
18/03/2015,15/03/2015,3,83.00000001,0,,,,,6,C,1
19/03/2015,18/03/2015,1,843,0,,,,,7,C,1
20/03/2015,19/03/2015,1,0,0,,,,,8,C,1
22/03/2015,20/03/2015,2,0,0,750,,,,10,C,1
23/03/2015,22/03/2015,1,1.999999996,0,,1,,,11,C,1
26/03/2015,23/03/2015,3,0,0,,1,,,1,C,1
27/03/2015,26/03/2015,1,843,0,,,,,2,C,1
30/03/2015,27/03/2015,3,857,0,,,,,5,C,1
04/04/2015,30/03/2015,5,717,0,,,,,10,C,1
07/04/2015,04/04/2015,3,0,0,,1,1,,13,C,1
09/04/2015,07/04/2015,2,0,0,,,,,15,C,1
10/04/2015,09/04/2015,1,1.000000003,0,,,,,16,C,1
11/04/2015,10/04/2015,1,880,0,,,,,17,C,1
12/04/2015,11/04/2015,1,39.99999999,0,,,,1,18,C,1
13/04/2015,12/04/2015,1,7.000000002,0,,,,,19,C,1
14/04/2015,13/04/2015,1,830,0,,1,1,,20,C,1
19/04/2015,14/04/2015,5,804,0,,,,,5,C,1
20/04/2015,19/04/2015,1,1.999999996,0,,,,,6,C,1
21/04/2015,20/04/2015,1,0,0,,,,,7,C,1
22/04/2015,21/04/2015,1,772,0,,,,,8,C,1
23/04/2015,22/04/2015,1,2.999999999,0,,,,,9,C,1
24/04/2015,23/04/2015,1,0,0,,,,,10,C,1
25/04/2015,24/04/2015,1,1.999999996,0,,,1,1,1,C,1
26/04/2015,25/04/2015,1,955,0,,,,,2,C,1
27/04/2015,26/04/2015,1,866,0,,,,,3,C,1
28/04/2015,27/04/2015,1,841,0,,,,,4,C,1
30/04/2015,28/04/2015,2,0,0,,1,,,6,C,1
02/05/2015,30/04/2015,2,1.999999996,0,,,,,8,C,1
04/05/2015,02/05/2015,2,742,0,,,,,10,C,1
05/05/2015,04/05/2015,1,1.000000003,0,,,,,11,C,1
06/05/2015,05/05/2015,1,913,0,,,,,12,C,1
07/05/2015,06/05/2015,1,5.000000006,0,,,,,13,C,1
08/05/2015,07/05/2015,1,5.999999999,0,,,1,1,14,C,1
10/05/2015,08/05/2015,2,663,0,,,,,2,C,1
12/05/2015,10/05/2015,2,673,0,,,,,4,C,1
14/05/2015,12/05/2015,2,758,0,,,,,6,C,1
15/05/2015,14/05/2015,1,1.999999996,0,,,1,,7,C,1
16/05/2015,15/05/2015,1,946,0,,,,,8,C,1
18/05/2015,16/05/2015,2,829,0,,,,,10,C,1
20/05/2015,18/05/2015,2,4.999999995,0,,,1,,12,C,1
21/05/2015,20/05/2015,1,0.999999993,0,,,,,13,C,1
22/05/2015,21/05/2015,1,0,0,,1,,,14,C,1
24/05/2015,22/05/2015,2,0,0,,,,,16,C,1
27/05/2015,24/05/2015,3,701,0,,,,,19,C,1
31/05/2015,27/05/2015,4,0,0,,,,,23,C,1
01/06/2015,31/05/2015,1,5.000000006,0,,,,,24,C,1
02/06/2015,01/06/2015,1,3.999999992,0,,,,,25,C,1
04/06/2015,02/06/2015,2,560,0,,,,,27,C,1
28/06/2015,04/06/2015,24,0,0,,,,,9,C,1
11/07/2015,28/06/2015,13,7.999999995,0,,,,,8,C,1
15/07/2015,11/07/2015,4,0,0,,,,,12,C,1
17/07/2015,15/07/2015,2,725,0,,,,,14,C,1
18/07/2015,17/07/2015,1,4.999999995,0,,,,,1,C,1
19/07/2015,18/07/2015,1,327,0,,,,,2,C,1
22/07/2015,19/07/2015,3,969,0,,,,,5,C,1
25/07/2015,22/07/2015,3,0,0,,,,,8,C,1
01/08/2015,25/07/2015,7,767,0,,,1,,6,C,1
04/08/2015,01/08/2015,3,0,0,,,,,9,C,1
05/08/2015,04/08/2015,1,0,0,,,,,10,C,1
06/08/2015,05/08/2015,1,2.000000007,0,,,,,11,C,1
08/08/2015,06/08/2015,2,0,0,,,,,13,C,1
11/08/2015,08/08/2015,3,1.000000003,0,,,,,16,C,1
12/08/2015,11/08/2015,1,0,0,,,,,17,C,1
14/08/2015,12/08/2015,2,0,0,,,,,19,C,1
16/08/2015,14/08/2015,2,0,0,,,,,21,C,1
17/08/2015,16/08/2015,1,0,0,,,,,22,C,1
18/08/2015,17/08/2015,1,0,0,,,,,0,C,1
19/08/2015,18/08/2015,1,0,0,,,,,1,C,1
20/08/2015,19/08/2015,1,0,0,,,,,2,C,1
21/08/2015,20/08/2015,1,0,0,,,,,3,C,1
23/08/2015,21/08/2015,2,0,0,,,,,5,C,1
24/08/2015,23/08/2015,1,0,0,,,,,6,C,1
26/08/2015,24/08/2015,2,0,0,,,,,8,C,1
28/08/2015,26/08/2015,2,0,0,,,,,10,C,1
29/08/2015,28/08/2015,1,0,0,,,,,11,C,1
30/08/2015,29/08/2015,1,0.999999993,0,,,,,12,C,1
02/09/2015,30/08/2015,3,0,0,,,,,15,C,1
04/09/2015,02/09/2015,2,0,0,,,,,17,C,1
06/09/2015,04/09/2015,2,0,0,,,,,2,C,1
09/09/2015,06/09/2015,3,0,0,,,,,5,C,1
13/09/2015,09/09/2015,4,0.999999993,0,,,,,9,C,1
19/09/2015,13/09/2015,6,0,0,,,,,3,C,1
22/09/2015,19/09/2015,3,0,0,,,,,6,C,1
24/09/2015,22/09/2015,2,0,0,,,,,8,C,1
25/09/2015,24/09/2015,1,0,0,,,1,,9,C,1
26/09/2015,25/09/2015,1,0,0,,,,,10,C,1
27/09/2015,26/09/2015,1,740,0,,,,,11,C,1
