EVENT,LAST.EVENT,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,SCENT.AR,SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS
26/11/2010,25/11/2010,1,769,0,,1,,,8,PN,1
27/11/2010,26/11/2010,1,0,0,,,,,9,PN,1
28/11/2010,27/11/2010,1,0,0,,,,,10,PN,1
30/11/2010,28/11/2010,2,0,0,,1,,,12,PN,1
01/12/2010,30/11/2010,1,1004,0,,,,,13,PN,1
02/12/2010,01/12/2010,1,664,0,,1,,,14,PN,1
03/12/2010,02/12/2010,1,196,0,,1,,,15,PN,1
04/12/2010,03/12/2010,1,0,0,,1,,,16,PN,1
05/12/2010,04/12/2010,1,0,0,871,,,,17,PN,1
06/12/2010,05/12/2010,1,0,0,,1,,,18,PN,1
07/12/2010,06/12/2010,1,0,0,,1,,,19,PN,1
09/12/2010,07/12/2010,2,0,0,,1,,,0,PN,1
10/12/2010,09/12/2010,1,0,0,,,,,1,PN,1
11/12/2010,10/12/2010,1,844,0,,1,,,2,PN,1
12/12/2010,11/12/2010,1,708,0,,,,,3,PN,1
13/12/2010,12/12/2010,1,779,0,,,,,4,PN,1
14/12/2010,13/12/2010,1,638,0,,,,,5,N,1
15/12/2010,14/12/2010,1,678,0,,1,,,6,N,1
16/12/2010,15/12/2010,1,0,0,,,,,7,N,1
17/12/2010,16/12/2010,1,0,0,,1,,,8,N,1
18/12/2010,17/12/2010,1,992,0,,,,,9,N,1
19/12/2010,18/12/2010,1,0,0,,1,,,10,N,1
20/12/2010,19/12/2010,1,0,0,,,,,0,N,1
21/12/2010,20/12/2010,1,0,0,,,,,1,N,1
22/12/2010,21/12/2010,1,480,0,,1,,,2,N,1
23/12/2010,22/12/2010,1,294,0,,,1,,3,N,1
24/12/2010,23/12/2010,1,302,0,,,,,4,N,1
25/12/2010,24/12/2010,1,0,0,,1,,,5,N,1
26/12/2010,25/12/2010,1,0,0,,1,,,6,N,1
27/12/2010,26/12/2010,1,1109,0,,,1,,7,N,1
28/12/2010,27/12/2010,1,462,0,,,,,8,N,1
29/12/2010,28/12/2010,1,732,0,,,,,9,N,1
30/12/2010,29/12/2010,1,1111,0,,,,,10,N,1
31/12/2010,30/12/2010,1,0,0,796,,,,11,N,1
01/01/2011,31/12/2010,1,0,0,,1,,,12,N,1
02/01/2011,01/01/2011,1,929,0,,,,,13,N,1
03/01/2011,02/01/2011,1,0,0,,,,,14,N,1
04/01/2011,03/01/2011,1,0,0,,1,,,15,N,1
05/01/2011,04/01/2011,1,774,0,,1,,,0,N,1
06/01/2011,05/01/2011,1,1177,0,,1,1,,1,N,1
07/01/2011,06/01/2011,1,0,0,,1,,,2,N,1
08/01/2011,07/01/2011,1,0,0,,1,,,3,N,1
09/01/2011,08/01/2011,1,0,0,,1,,,4,N,1
10/01/2011,09/01/2011,1,0,0,,,,,5,N,1
11/01/2011,10/01/2011,1,0,0,,1,,,6,N,1
12/01/2011,11/01/2011,1,0,0,,,,,7,N,1
13/01/2011,12/01/2011,1,0,0,,,,,8,N,1
14/01/2011,13/01/2011,1,845,0,,,,,9,N,1
15/01/2011,14/01/2011,1,0,0,,,,,10,N,1
16/01/2011,15/01/2011,1,0,0,,,,,11,N,1
17/01/2011,16/01/2011,1,878,0,,,,,12,N,1
18/01/2011,17/01/2011,1,901,0,,,,,13,N,1
19/01/2011,18/01/2011,1,0,0,,,,,0,N,1
20/01/2011,19/01/2011,1,0,0,,1,,,1,N,1
21/01/2011,20/01/2011,1,793,0,,1,,,2,N,1
22/01/2011,21/01/2011,1,0,0,865,,,,3,N,1
23/01/2011,22/01/2011,1,0,0,781,,,,4,N,1
24/01/2011,23/01/2011,1,0,0,749,,,,5,N,1
25/01/2011,24/01/2011,1,4.000000003,0,,1,1,,6,N,1
26/01/2011,25/01/2011,1,0,0,777,,,,7,N,1
27/01/2011,26/01/2011,1,0,0,,1,,,8,N,1
28/01/2011,27/01/2011,1,0,0,785,,,,9,N,1
29/01/2011,28/01/2011,1,0,0,858,,,,10,N,1
30/01/2011,29/01/2011,1,0,0,,1,,,11,N,1
31/01/2011,30/01/2011,1,0,0,,1,,,12,N,1
01/02/2011,31/01/2011,1,0,0,829,,,,13,N,1
02/02/2011,01/02/2011,1,815,0,,,1,,0,N,1
03/02/2011,02/02/2011,1,0,0,,,,,1,N,1
04/02/2011,03/02/2011,1,0,0,722,,,,2,N,1
05/02/2011,04/02/2011,1,0,0,832,,,,3,N,1
06/02/2011,05/02/2011,1,0,0,815,,,,4,N,1
07/02/2011,06/02/2011,1,0,0,,1,,,5,N,1
08/02/2011,07/02/2011,1,0,0,,1,,,6,N,1
09/02/2011,08/02/2011,1,0,0,,1,,,7,N,1
10/02/2011,09/02/2011,1,778,0,,,,,1,N,1
11/02/2011,10/02/2011,1,0,0,,1,1,,2,N,1
12/02/2011,11/02/2011,1,0,0,,,,,3,N,1
13/02/2011,12/02/2011,1,0,0,,1,,,4,N,1
14/02/2011,13/02/2011,1,749,0,,1,1,,5,N,1
15/02/2011,14/02/2011,1,1099,0,,,,,6,N,1
16/02/2011,15/02/2011,1,794,0,,,,,7,N,1
19/02/2011,16/02/2011,3,710,0,,,1,,10,N,1
20/02/2011,19/02/2011,1,938,0,,,,,11,N,1
21/02/2011,20/02/2011,1,822,1,,,,,12,ER,1
22/02/2011,21/02/2011,1,883,0,,,,,13,ER,1
23/02/2011,22/02/2011,1,755,1,,,,,0,ER,1
24/02/2011,23/02/2011,1,0,1,,1,,,1,ER,1
25/02/2011,24/02/2011,1,723,0,,,,,2,ER,1
26/02/2011,25/02/2011,1,692,0,,,,,3,ER,1
27/02/2011,26/02/2011,1,850,0,,,1,,4,ER,1
03/03/2011,27/02/2011,4,833,0,,,1,,8,ER,1
05/03/2011,03/03/2011,2,952,0,,,,,0,ER,1
06/03/2011,05/03/2011,1,780,0,,,,,1,ER,1
07/03/2011,06/03/2011,1,1265,1,,,,,2,ER,1
08/03/2011,07/03/2011,1,846,1,,,,,3,ER,1
09/03/2011,08/03/2011,1,1062,1,,,,,4,ER,1
10/03/2011,09/03/2011,1,1109,1,,,2,,5,ER,1
11/03/2011,10/03/2011,1,2503,1,,,,,6,ER,1
12/03/2011,11/03/2011,1,989,0,,,1,,7,ER,1
13/03/2011,12/03/2011,1,1152,1,,,1,,8,ER,1
15/03/2011,13/03/2011,2,838,0,,,,,1,ER,1
