Date,Date2,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,Count of SCENT.AR,Count of SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS,CAMS1.NOCAMS0,REST
12/04/2010,11/04/2010,1,904,0,,,,,11,MR,1,1,1
14/04/2010,12/04/2010,2,951,1,,,,,13,MR,1,1,1
17/04/2010,14/04/2010,3,859,1,,,,,16,MR,1,1,1
19/04/2010,17/04/2010,2,911,1,,1,,,0,MR,1,1,1
21/04/2010,19/04/2010,2,1000,1,,,1,,2,MR,1,1,1
23/04/2010,21/04/2010,2,939,1,,,,,4,MR,1,1,1
24/04/2010,23/04/2010,1,16,0,,,,,5,MR,1,1,1
26/04/2010,24/04/2010,2,878,1,,,,1,7,MR,1,1,1
27/04/2010,26/04/2010,1,829,0,,,,,8,MR,1,1,1
02/05/2010,27/04/2010,5,1165,1,,,,,13,MR,1,1,1
03/05/2010,02/05/2010,1,759,0,,,1,,14,MR,1,1,1
04/05/2010,03/05/2010,1,1031,0,,,1,,15,MR,1,1,1
05/05/2010,04/05/2010,1,892,0,,,,,0,MR,1,1,1
06/05/2010,05/05/2010,1,980,1,,,,,1,MR,1,1,1
08/05/2010,06/05/2010,2,1033,1,,,,,3,LR,1,1,1
13/05/2010,08/05/2010,5,0,1,,1,,,8,LR,1,1,1
14/05/2010,13/05/2010,1,1169,1,,,,,9,LR,1,1,1
18/05/2010,14/05/2010,4,997,0,,,,,13,LR,1,1,1
22/05/2010,18/05/2010,4,1000,1,,,,,3,LR,1,1,1
26/05/2010,22/05/2010,4,1001,1,,,,,7,LR,1,1,1
27/05/2010,26/05/2010,1,1034,0,,,1,,8,LR,1,1,1
29/05/2010,27/05/2010,2,1047,0,,,1,,10,LR,1,1,1
30/05/2010,29/05/2010,1,1040,1,,,,,11,LR,1,1,1
03/06/2010,30/05/2010,4,993,1,,,1,,2,LR,1,1,1
04/06/2010,03/06/2010,1,989,0,,,,,3,LR,1,1,1
07/06/2010,04/06/2010,3,1077,1,,,1,,6,LR,1,1,1
14/06/2010,07/06/2010,7,146,0,,,,,0,LR,1,1,1
15/06/2010,14/06/2010,1,1028,1,,,,,1,LR,1,1,1
20/06/2010,15/06/2010,5,1093,1,,,,,6,LR,1,1,1
27/06/2010,20/06/2010,7,31,0,,,,,13,LR,1,1,1
29/06/2010,27/06/2010,2,1246,0,,,,1,1,LR,1,1,1
30/08/2010,25/08/2010,5,257,0,,,,,6,C,1,1,1
27/09/2010,17/09/2010,10,17,0,,,,,13,C,1,1,1
27/10/2010,25/10/2010,2,778,0,,,,1,7,C,1,1,1
02/11/2010,27/10/2010,6,0,0,669,,,,13,C,1,1,1
05/11/2010,02/11/2010,3,652,0,,,,,1,C,1,1,1
06/11/2010,05/11/2010,1,0,0,,1,,,2,C,1,1,1
07/11/2010,06/11/2010,1,770,0,,,,,3,C,1,1,1
08/11/2010,07/11/2010,1,778,0,,,,,4,C,1,1,1
09/11/2010,08/11/2010,1,0,0,,1,,,5,C,1,1,1
10/11/2010,09/11/2010,1,247,0,,,,,6,C,1,1,1
11/11/2010,10/11/2010,1,691,0,,,1,,7,C,1,1,1
12/11/2010,11/11/2010,1,890,0,,,,,8,PN,1,1,1
13/11/2010,12/11/2010,1,599,0,,,,,9,PN,1,1,1
14/11/2010,13/11/2010,1,761,0,,,,,10,PN,1,1,1
15/11/2010,14/11/2010,1,730,0,,,,,11,PN,1,1,1
16/11/2010,15/11/2010,1,792,0,,,,,12,PN,1,1,1
17/11/2010,16/11/2010,1,786,0,,,1,,13,PN,1,1,1
20/11/2010,17/11/2010,3,0,0,,1,,,2,PN,1,1,1
21/11/2010,20/11/2010,1,673,0,,,,,3,PN,1,1,1
23/11/2010,21/11/2010,2,0,0,,1,,,5,PN,1,1,1
25/11/2010,23/11/2010,2,0,0,,1,,,7,PN,1,1,1
26/11/2010,25/11/2010,1,769,0,,1,,,8,PN,1,1,1
30/11/2010,26/11/2010,4,0,0,,1,,,12,PN,1,1,1
01/12/2010,30/11/2010,1,1004,0,,,,,13,PN,1,1,1
02/12/2010,01/12/2010,1,664,0,,1,,,14,PN,1,1,1
03/12/2010,02/12/2010,1,196,0,,1,,,15,PN,1,1,1
04/12/2010,03/12/2010,1,0,0,,1,,,16,PN,1,1,1
05/12/2010,04/12/2010,1,0,0,871,,,,17,PN,1,1,1
06/12/2010,05/12/2010,1,0,0,,1,,,18,PN,1,1,1
07/12/2010,06/12/2010,1,0,0,,1,,,19,PN,1,1,1
09/12/2010,07/12/2010,2,0,0,,1,,,0,PN,1,1,1
11/12/2010,09/12/2010,2,844,0,,1,,,2,PN,1,1,1
12/12/2010,11/12/2010,1,708,0,,,,,3,PN,1,1,1
