Date,Date2,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,Count of SCENT.AR,Count of SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS,CAMS1.NOCAMS0,REST
20/03/2014,19/03/2014,1,669,0,,,2,,11,LR,1,1,1
22/03/2014,20/03/2014,2,709,0,,,2,,13,LR,1,1,1
23/03/2014,22/03/2014,1,728,1,,,,1,14,LR,1,1,1
25/03/2014,23/03/2014,2,0,0,,1,,1,1,LR,1,1,1
26/03/2014,25/03/2014,1,775,0,,,2,,2,LR,1,1,1
28/03/2014,26/03/2014,2,767,0,,,,,4,LR,1,1,1
29/03/2014,28/03/2014,1,409,0,,,,1,5,LR,1,1,1
30/03/2014,29/03/2014,1,817,0,,,,,6,LR,1,1,1
01/04/2014,30/03/2014,2,835,0,,,,2,8,LR,1,1,1
02/04/2014,01/04/2014,1,849,0,,,,,9,LR,1,1,1
03/04/2014,02/04/2014,1,1063,0,,,,,10,LR,1,1,1
05/04/2014,03/04/2014,2,1109.6,0,,,,,12,LR,1,1,1
06/04/2014,05/04/2014,1,812,0,,,,1,13,LR,1,1,1
07/04/2014,06/04/2014,1,814,0,,,,,14,LR,1,1,1
08/04/2014,07/04/2014,1,948,1,,,1,2,15,LR,1,1,1
09/04/2014,08/04/2014,1,62,1,819,,,,0,LR,1,1,1
12/04/2014,09/04/2014,3,919,1,,,,,7,C,1,1,1
14/04/2014,12/04/2014,2,839,1,,,,1,9,C,1,1,1
20/04/2014,14/04/2014,6,952,0,,,,,15,C,1,1,1
23/04/2014,20/04/2014,3,885,0,,,,1,1,LR,1,1,1
25/04/2014,23/04/2014,2,917,1,,,2,,3,LR,1,1,1
28/04/2014,25/04/2014,3,903,0,,,,,6,LR,1,1,1
07/05/2014,28/04/2014,9,323,0,,,1,,2,LR,1,1,1
10/05/2014,07/05/2014,3,880,0,,,,,5,LR,1,1,1
11/05/2014,10/05/2014,1,19.99999999,1,,,,,6,LR,1,1,1
12/05/2014,11/05/2014,1,653,0,,,,,7,C,1,1,1
13/05/2014,12/05/2014,1,891,0,,,,,8,C,1,1,1
15/05/2014,13/05/2014,2,878,0,,,,,10,C,1,1,1
17/05/2014,15/05/2014,2,295,1,,,,1,12,C,1,1,1
05/06/2014,17/05/2014,19,48,1,,,2,1,2,C,1,1,1
12/06/2014,05/06/2014,7,1046,0,,,,,9,C,1,1,1
17/12/2014,13/12/2014,4,410,0,,,,,8,C,1,1,1
19/12/2014,17/12/2014,2,0,0,,1,,,10,C,1,1,1
22/12/2014,19/12/2014,3,435,0,,,,,13,C,1,1,1
23/12/2014,22/12/2014,1,287,0,,,,,14,C,1,1,1
27/12/2014,23/12/2014,4,557,0,,,,,18,C,1,1,1
28/12/2014,27/12/2014,1,595,0,,,,,19,C,1,1,1
29/12/2014,28/12/2014,1,0,0,,1,,,0,C,1,1,1
01/01/2015,29/12/2014,3,0,0,,1,,,3,C,1,1,1
07/01/2015,01/01/2015,6,92,0,,,,,9,C,1,1,1
09/01/2015,07/01/2015,2,557,0,,,,,11,C,1,1,1
15/01/2015,09/01/2015,6,531,0,,,,,3,C,1,1,1
16/01/2015,15/01/2015,1,503,0,,,,,4,C,1,1,1
20/01/2015,16/01/2015,4,664,0,,,,,8,C,1,1,1
21/01/2015,20/01/2015,1,357,0,,,,,9,C,1,1,1
23/01/2015,21/01/2015,2,1002,0,,,,,11,C,1,1,1
25/01/2015,23/01/2015,2,632,0,,,,,13,C,1,1,1
26/01/2015,25/01/2015,1,0,0,,1,,,14,C,1,1,1
31/01/2015,26/01/2015,5,624,0,,,,,5,C,1,1,1
01/02/2015,31/01/2015,1,0,0,,1,,,6,C,1,1,1
04/02/2015,01/02/2015,3,0,0,,1,,,9,C,1,1,1
05/02/2015,04/02/2015,1,783,0,,,,,10,C,1,1,1
06/02/2015,05/02/2015,1,966,0,,,,,11,C,1,1,1
07/02/2015,06/02/2015,1,0,0,,1,,,12,C,1,1,1
08/02/2015,07/02/2015,1,0,0,,1,,,13,C,1,1,1
09/02/2015,08/02/2015,1,808,0,,,,,14,C,1,1,1
10/02/2015,09/02/2015,1,716,0,,,,,15,C,1,1,1
14/02/2015,10/02/2015,4,123,0,,,,,1,C,1,1,1
17/02/2015,14/02/2015,3,704,0,,,,,4,C,1,1,1
20/02/2015,17/02/2015,3,895,0,,,,,7,C,1,1,1
21/02/2015,20/02/2015,1,73.00000001,0,,,1,,8,C,1,1,1
26/02/2015,21/02/2015,5,954,0,,,,,0,C,1,1,1
02/03/2015,26/02/2015,4,194,0,,,,,4,C,1,1,1
04/03/2015,02/03/2015,2,543,0,,,,,6,C,1,1,1
08/03/2015,04/03/2015,4,0,0,,1,,1,10,C,1,1,1
14/03/2015,08/03/2015,6,681,0,,,,,2,C,1,1,1
15/03/2015,14/03/2015,1,827,0,,,,,3,C,1,1,1
18/03/2015,15/03/2015,3,83.00000001,0,,,,,6,C,1,1,1
19/03/2015,18/03/2015,1,843,0,,,,,7,C,1,1,1
22/03/2015,19/03/2015,3,0,0,750,,,,10,C,1,1,1
23/03/2015,22/03/2015,1,1.999999996,0,,1,,,11,C,1,1,1
26/03/2015,23/03/2015,3,0,0,,1,,,1,C,1,1,1
27/03/2015,26/03/2015,1,843,0,,,,,2,C,1,1,1
30/03/2015,27/03/2015,3,857,0,,,,,5,C,1,1,1
04/04/2015,30/03/2015,5,717,0,,,,,10,C,1,1,1
07/04/2015,04/04/2015,3,0,0,,1,1,,13,C,1,1,1
11/04/2015,07/04/2015,4,880,0,,,,,17,C,1,1,1
12/04/2015,11/04/2015,1,39.99999999,0,,,,1,18,C,1,1,1
14/04/2015,12/04/2015,2,830,0,,1,1,,20,C,1,1,1
19/04/2015,14/04/2015,5,804,0,,,,,5,C,1,1,1
22/04/2015,19/04/2015,3,772,0,,,,,8,C,1,1,1
26/04/2015,22/04/2015,4,955,0,,,,,2,C,1,1,1
27/04/2015,26/04/2015,1,866,0,,,,,3,C,1,1,1
28/04/2015,27/04/2015,1,841,0,,,,,4,C,1,1,1
30/04/2015,28/04/2015,2,0,0,,1,,,6,C,1,1,1
04/05/2015,30/04/2015,4,742,0,,,,,10,C,1,1,1
06/05/2015,04/05/2015,2,913,0,,,,,12,C,1,1,1
10/05/2015,06/05/2015,4,663,0,,,,,2,C,1,1,1
12/05/2015,10/05/2015,2,673,0,,,,,4,C,1,1,1
14/05/2015,12/05/2015,2,758,0,,,,,6,C,1,1,1
16/05/2015,14/05/2015,2,946,0,,,,,8,C,1,1,1
18/05/2015,16/05/2015,2,829,0,,,,,10,C,1,1,1
22/05/2015,18/05/2015,4,0,0,,1,,,14,C,1,1,1
27/05/2015,22/05/2015,5,701,0,,,,,19,C,1,1,1
04/06/2015,27/05/2015,8,560,0,,,,,27,C,1,1,1
17/07/2015,04/06/2015,43,725,0,,,,,14,C,1,1,1
19/07/2015,17/07/2015,2,327,0,,,,,2,C,1,1,1
22/07/2015,19/07/2015,3,969,0,,,,,5,C,1,1,1
01/08/2015,22/07/2015,10,767,0,,,1,,6,C,1,1,1
27/09/2015,01/08/2015,57,740,0,,,,,11,C,1,1,1
